round,step,coins_left
1,7,0
2,9,0
3,4,0
4,5,0
5,20,0
6,25,1
7,12,0
8,8,0
9,19,0
10,8,0
11,10,0
12,26,1
13,5,0
14,6,0
15,5,0
16,16,0
17,4,0
18,6,0
19,58,0
20,45,0
21,4,0
22,5,0
23,6,0
24,14,1
25,27,0
26,19,1
27,4,0
28,4,0
29,4,0
30,26,0
31,4,0
32,7,0
33,21,0
34,48,0
35,6,0
36,19,0
37,20,0
38,4,0
39,7,0
40,19,0
41,19,0
42,6,0
43,16,0
44,23,0
45,6,0
46,19,0
47,4,0
48,20,0
49,12,0
50,22,0
51,33,0
52,10,0
53,19,0
54,6,0
55,20,0
56,19,1
57,21,0
58,19,0
59,4,0
60,4,0
61,13,0
62,32,0
63,13,2
64,4,0
65,27,0
66,6,0
67,4,0
68,5,0
69,12,0
70,19,1
71,19,0
72,19,0
73,20,1
74,19,1
75,35,1
76,20,0
77,4,0
78,13,0
79,20,1
80,40,0
81,30,0
82,26,1
83,19,0
84,26,0
85,13,1
86,21,0
87,26,0
88,15,0
89,19,0
90,13,0
91,19,0
92,21,0
93,21,0
94,19,0
95,13,1
96,21,0
97,12,0
98,4,0
99,35,0
100,6,1
101,33,0
102,20,0
103,86,0
104,28,2
105,6,0
106,7,0
107,13,1
108,34,0
109,32,0
110,4,0
111,12,1
112,4,0
113,37,0
114,37,0
115,31,0
116,12,0
117,6,0
118,26,1
119,5,0
120,19,0
121,19,0
122,6,0
123,21,0
124,5,0
125,4,0
126,12,0
127,4,0
128,19,0
129,13,0
130,6,0
131,12,0
132,20,0
133,38,0
134,15,0
135,12,0
136,23,0
137,33,0
138,19,0
139,26,0
140,14,1
141,22,1
142,19,0
143,21,0
144,35,0
145,21,0
146,27,0
147,23,1
148,12,0
149,4,0
150,57,0
151,19,0
152,20,1
153,19,0
154,19,0
155,27,0
156,8,0
157,12,0
158,6,0
159,4,0
160,21,1
161,4,0
162,19,0
163,26,0
164,62,2
165,27,0
166,4,0
167,55,0
168,46,1
169,20,0
170,20,0
171,14,0
172,4,0
173,4,0
174,15,1
175,67,0
176,26,0
177,4,0
178,53,0
179,5,0
180,4,0
181,19,0
182,14,0
183,28,2
184,63,0
185,4,0
186,34,1
187,73,1
188,21,1
189,19,0
190,4,0
191,97,2
192,4,0
193,12,0
194,19,1
195,19,1
196,42,1
197,4,0
198,30,1
199,19,0
200,12,0
201,22,0
202,13,1
203,37,1
204,14,0
205,4,0
206,4,0
207,4,0
208,4,0
209,19,0
210,4,0
211,32,1
212,46,0
213,55,1
214,20,0
215,21,0
216,61,0
217,55,1
218,35,0
219,36,0
220,12,0
221,38,1
222,48,0
223,71,2
224,45,0
225,32,0
226,24,0
227,22,0
228,20,1
229,28,1
230,22,0
231,19,0
232,13,0
233,19,1
234,5,0
235,12,1
236,35,1
237,4,0
238,12,0
239,10,0
240,5,0
241,13,1
242,20,0
243,12,1
244,12,0
245,12,0
246,19,0
247,4,0
248,5,0
249,41,0
250,51,0
251,32,0
252,15,0
253,24,0
254,28,1
255,13,0
256,75,1
257,20,0
258,13,1
259,24,0
260,21,0
261,19,0
262,67,2
263,24,0
264,5,0
265,44,1
266,19,0
267,4,0
268,13,1
269,13,0
270,13,0
271,14,0
272,16,0
273,7,0
274,4,0
275,24,1
276,130,1
277,38,0
278,20,0
279,5,0
280,16,0
281,53,0
282,20,0
283,23,0
284,19,0
285,19,0
286,7,0
287,22,2
288,14,1
289,38,1
290,12,0
291,13,1
292,44,0
293,5,0
294,5,0
295,12,1
296,22,0
297,7,0
298,13,0
299,15,0
300,30,0
301,29,0
302,12,0
303,32,0
304,12,0
305,113,1
306,42,0
307,66,1
308,29,0
309,16,0
310,82,0
311,50,1
312,83,0
313,12,1
314,63,0
315,134,1
316,5,0
317,22,1
318,15,0
319,26,0
320,145,0
321,14,0
322,202,0
323,193,2
324,107,2
325,92,0
326,87,0
327,104,0
328,34,0
329,42,0
330,5,0
331,19,0
332,5,0
333,16,0
334,6,0
335,65,0
336,56,0
337,74,0
338,17,0
339,19,0
340,203,2
341,13,0
342,6,0
343,36,0
344,115,1
345,6,0
346,6,0
347,6,0
348,8,0
349,13,0
350,62,0
351,42,1
352,37,1
353,13,0
354,102,0
355,115,0
356,62,1
357,19,0
358,15,0
359,21,0
360,21,0
361,68,0
362,14,0
363,19,1
364,8,0
365,46,2
366,149,1
367,57,0
368,74,2
369,5,0
370,26,0
371,23,1
372,19,0
373,23,0
374,5,0
375,248,1
376,16,0
377,6,0
378,7,0
379,28,0
380,8,0
381,6,0
382,5,0
383,28,0
384,10,0
385,18,0
386,20,0
387,36,0
388,30,0
389,6,0
390,40,1
391,5,0
392,13,0
393,21,0
394,93,1
395,12,1
396,14,0
397,20,0
398,98,0
399,53,0
400,61,1
401,5,0
402,6,0
403,113,0
404,19,0
405,122,2
406,45,0
407,153,1
408,67,1
409,36,0
410,6,0
411,64,1
412,135,1
413,13,0
414,45,0
415,23,0
416,38,1
417,42,0
418,104,3
419,26,0
420,116,1
421,19,0
422,45,1
423,6,0
424,19,0
425,43,0
426,77,0
427,13,0
428,19,0
429,21,0
430,29,0
431,5,0
432,42,0
433,20,0
434,19,0
435,19,1
436,12,0
437,19,2
438,20,0
439,22,0
440,96,0
441,16,1
442,20,0
443,7,0
444,60,0
445,12,0
446,92,4
447,6,0
448,40,0
449,59,0
450,78,0
451,92,1
452,20,0
453,13,0
454,12,0
455,21,1
456,32,2
457,102,2
458,66,0
459,49,2
460,20,0
461,28,1
462,19,0
463,23,0
464,37,1
465,20,0
466,12,0
467,19,0
468,13,1
469,20,0
470,38,0
471,40,1
472,6,0
473,202,2
474,19,0
475,105,0
476,76,0
477,27,0
478,19,0
479,12,0
480,138,2
481,12,0
482,23,0
483,90,2
484,162,2
485,43,2
486,21,0
487,21,0
488,63,0
489,52,0
490,20,0
491,24,0
492,27,0
493,22,0
494,74,1
495,47,0
496,100,0
497,70,1
498,19,0
499,77,1
500,43,1
501,88,0
502,6,0
503,57,0
504,21,0
505,65,0
506,17,0
507,19,1
508,19,0
509,43,0
510,57,1
511,20,0
512,40,0
513,30,0
514,106,0
515,101,1
516,29,0
517,24,0
518,10,0
519,12,0
520,47,1
521,20,1
522,5,0
523,29,0
524,14,0
525,6,0
526,13,0
527,25,0
528,22,1
529,13,0
530,28,0
531,43,0
532,24,0
533,20,1
534,38,0
535,30,1
536,26,0
537,58,0
538,184,0
539,18,0
540,115,0
541,27,0
542,14,0
543,23,0
544,23,1
545,65,0
546,35,0
547,22,0
548,96,1
549,6,0
550,63,0
551,204,1
552,20,0
553,6,0
554,36,0
555,21,0
556,26,0
557,19,0
558,19,0
559,12,0
560,23,0
561,206,0
562,24,0
563,5,0
564,29,0
565,6,0
566,5,0
567,8,0
568,9,0
569,337,4
570,12,0
571,20,0
572,36,0
573,43,0
574,19,1
575,90,1
576,46,1
577,19,0
578,12,0
579,95,0
580,64,1
581,5,0
582,40,1
583,27,0
584,23,0
585,19,0
586,20,0
587,62,0
588,28,2
589,12,0
590,19,0
591,13,0
592,138,1
593,56,2
594,29,1
595,40,0
596,4,0
597,6,0
598,45,1
599,26,0
600,38,1
601,107,0
602,61,0
603,48,0
604,12,1
605,6,0
606,12,0
607,36,0
608,33,1
609,41,0
610,16,1
611,15,0
612,49,1
613,26,0
614,378,2
615,11,0
616,12,0
617,84,1
618,31,0
619,35,0
620,13,1
621,119,1
622,168,4
623,40,0
624,12,1
625,19,0
626,29,0
627,19,0
628,19,0
629,50,0
630,77,3
631,21,1
632,19,0
633,23,0
634,6,0
635,157,0
636,19,0
637,5,0
638,12,1
639,4,0
640,19,0
641,19,0
642,24,0
643,79,0
644,5,0
645,20,0
646,21,0
647,5,0
648,12,1
649,19,0
650,7,0
651,9,0
652,15,0
653,19,0
654,11,0
655,27,1
656,11,0
657,29,0
658,14,0
659,29,0
660,47,0
661,88,0
662,34,0
663,16,0
664,11,0
665,10,0
666,52,0
667,28,0
668,32,0
669,48,0
670,29,1
671,4,0
672,27,0
673,21,0
674,5,0
675,13,0
676,27,0
677,185,0
678,7,0
679,6,0
680,7,0
681,24,0
682,10,0
683,41,0
684,132,0
685,8,0
686,20,0
687,24,0
688,56,0
689,69,1
690,34,0
691,13,0
692,14,0
693,53,1
694,15,0
695,88,0
696,39,1
697,136,1
698,35,1
699,229,3
700,89,0
701,194,0
702,14,0
703,27,0
704,28,0
705,97,1
706,26,0
707,60,0
708,5,0
709,28,0
710,41,0
711,12,0
712,5,0
713,24,0
714,102,0
715,88,1
716,68,0
717,89,0
718,39,0
719,5,0
720,16,0
721,39,0
722,98,2
723,6,0
724,27,0
725,6,0
726,22,1
727,18,0
728,107,1
729,72,0
730,23,0
731,12,0
732,19,0
733,57,0
734,22,0
735,38,0
736,55,0
737,19,0
738,23,0
739,21,0
740,12,0
741,44,2
742,54,0
743,23,0
744,18,0
745,23,1
746,36,1
747,5,0
748,12,0
749,42,1
750,48,0
751,6,0
752,64,0
753,81,0
754,17,0
755,23,1
756,20,0
757,99,0
758,86,0
759,6,0
760,12,1
761,5,0
762,35,0
763,12,0
764,39,0
765,25,0
766,97,0
767,51,0
768,46,0
769,38,0
770,29,1
771,13,1
772,31,0
773,6,0
774,79,0
775,15,0
776,9,0
777,13,0
778,63,0
779,12,0
780,66,0
781,5,0
782,6,0
783,12,0
784,12,0
785,29,0
786,7,0
787,14,0
788,14,0
789,7,0
790,20,0
791,40,2
792,230,0
793,5,0
794,36,0
795,101,0
796,27,1
797,74,0
798,72,0
799,47,0
800,68,0
801,359,0
802,34,0
803,174,0
804,40,0
805,23,1
806,24,0
807,143,0
808,37,0
809,21,0
810,18,0
811,95,0
812,28,0
813,38,0
814,32,0
815,121,1
816,37,0
817,124,0
818,10,0
819,9,0
820,88,0
821,29,0
822,5,0
823,53,0
824,32,0
825,75,0
826,74,0
827,90,1
828,37,0
829,310,1
830,14,0
831,12,0
832,24,0
833,5,0
834,17,0
835,54,0
836,7,0
837,4,0
838,42,0
839,176,0
840,20,1
841,86,0
842,12,0
843,75,0
844,202,0
845,70,0
846,16,0
847,14,0
848,34,0
849,240,0
850,91,1
851,7,0
852,12,0
853,116,1
854,113,1
855,4,0
856,28,1
857,12,0
858,4,0
859,98,1
860,43,1
861,5,0
862,114,1
863,38,1
864,28,1
865,60,0
866,33,0
867,26,0
868,29,0
869,78,0
870,4,0
871,31,0
872,26,0
873,4,0
874,12,0
875,19,1
876,45,1
877,24,0
878,5,0
879,42,0
880,111,0
881,83,0
882,20,1
883,12,0
884,19,0
885,4,0
886,5,0
887,13,0
888,21,0
889,22,0
890,24,0
891,4,0
892,12,1
893,12,0
894,20,0
895,19,1
896,32,1
897,4,0
898,4,0
899,9,0
900,31,1
901,4,0
902,70,0
903,4,0
904,73,0
905,12,0
906,19,0
907,14,0
908,42,0
909,29,0
910,12,1
911,80,0
912,167,0
913,45,0
914,42,0
915,14,0
916,12,0
917,4,0
918,44,1
919,105,0
920,31,1
921,85,0
922,20,0
923,4,0
924,19,0
925,4,0
926,42,1
927,19,0
928,6,0
929,5,0
930,27,1
931,19,0
932,6,0
933,4,0
934,117,0
935,9,0
936,6,0
937,19,0
938,33,0
939,143,0
940,105,0
941,47,0
942,34,0
943,4,0
944,166,0
945,140,0
946,11,0
947,8,0
948,62,0
949,146,0
950,265,0
951,6,0
952,20,1
953,181,0
954,14,0
955,22,0
956,13,0
957,55,1
958,20,0
959,20,0
960,20,0
961,12,0
962,23,1
963,23,0
964,21,0
965,19,0
966,81,0
967,19,0
968,18,0
969,141,0
970,5,0
971,6,0
972,7,0
973,5,0
974,6,0
975,16,0
976,152,0
977,8,0
978,16,0
979,5,0
980,11,0
981,35,0
982,80,0
983,6,0
984,16,0
985,51,0
986,70,1
987,14,0
988,12,1
989,80,0
990,45,0
991,22,0
992,16,0
993,207,0
994,30,0
995,119,2
996,154,0
997,73,0
998,12,0
999,12,0
1000,25,0
1001,14,0
1002,15,0
1003,111,0
1004,23,0
1005,158,0
1006,17,0
1007,5,0
1008,94,0
1009,16,0
1010,5,0
1011,14,0
1012,212,0
1013,285,0
1014,18,0
1015,46,0
1016,14,0
1017,110,1
1018,181,0
1019,115,0
1020,153,0
1021,39,0
1022,41,1
1023,285,0
1024,35,0
1025,5,0
1026,83,0
1027,22,0
1028,48,0
1029,60,0
1030,282,0
1031,16,0
1032,269,0
1033,5,0
1034,11,0
1035,46,1
1036,14,0
1037,82,1
1038,18,0
1039,17,0
1040,92,0
1041,131,1
1042,42,1
1043,35,0
1044,210,1
1045,50,0
1046,123,0
1047,112,0
1048,22,1
1049,50,0
1050,20,0
1051,31,1
1052,4,0
1053,16,0
1054,5,0
1055,12,0
1056,85,0
1057,55,0
1058,23,0
1059,22,0
1060,49,0
1061,123,0
1062,19,1
1063,14,0
1064,14,0
1065,18,0
1066,135,2
1067,5,0
1068,51,2
1069,24,0
1070,382,2
1071,14,0
1072,5,0
1073,118,0
1074,30,0
1075,6,0
1076,14,0
1077,7,0
1078,24,0
1079,110,0
1080,12,0
1081,98,0
1082,17,0
1083,63,0
1084,41,0
1085,46,0
1086,14,0
1087,81,0
1088,16,0
1089,41,0
1090,59,0
1091,6,0
1092,6,0
1093,87,0
1094,192,0
1095,5,0
1096,46,1
1097,5,0
1098,15,1
1099,15,0
1100,41,0
1101,6,0
1102,33,0
1103,78,0
1104,18,1
1105,164,0
1106,7,0
1107,33,0
1108,79,0
1109,15,0
1110,31,0
1111,56,0
1112,38,0
1113,139,0
1114,22,0
1115,14,0
1116,19,1
1117,35,0
1118,20,0
1119,5,0
1120,6,0
1121,7,0
1122,6,0
1123,19,0
1124,6,0
1125,40,0
1126,400,0
1127,15,0
1128,87,0
1129,9,0
1130,19,0
1131,15,0
1132,18,0
1133,34,0
1134,188,1
1135,20,0
1136,4,0
1137,49,0
1138,4,0
1139,58,0
1140,14,0
1141,24,0
1142,19,0
1143,16,0
1144,154,1
1145,55,0
1146,85,0
1147,74,0
1148,5,0
1149,5,0
1150,50,0
1151,6,0
1152,20,0
1153,72,2
1154,139,1
1155,6,0
1156,21,0
1157,83,0
1158,13,1
1159,71,0
1160,16,0
1161,216,0
1162,137,0
1163,178,0
1164,200,0
1165,132,1
1166,6,0
1167,251,0
1168,62,1
1169,32,2
1170,40,0
1171,14,0
1172,205,0
1173,15,1
1174,5,0
1175,14,0
1176,15,0
1177,17,0
1178,14,1
1179,21,0
1180,22,1
1181,8,0
1182,4,0
1183,258,2
1184,93,0
1185,14,1
1186,4,0
1187,93,0
1188,36,0
1189,136,1
1190,14,1
1191,14,0
1192,23,1
1193,23,0
1194,62,1
1195,19,0
1196,19,0
1197,19,0
1198,6,0
1199,78,1
1200,33,0
1201,19,1
1202,109,1
1203,14,0
1204,19,0
1205,14,0
1206,69,0
1207,7,1
1208,24,0
1209,30,0
1210,38,0
1211,17,0
1212,107,0
1213,5,0
1214,304,1
1215,176,0
1216,30,0
1217,6,0
1218,119,0
1219,5,0
1220,5,0
1221,71,0
1222,257,2
1223,21,0
1224,272,0
1225,21,0
1226,8,0
1227,6,0
1228,232,1
1229,6,0
1230,7,0
1231,20,0
1232,191,0
1233,108,0
1234,7,0
1235,36,0
1236,216,0
1237,63,1
1238,48,1
1239,51,0
1240,5,0
1241,118,0
1242,191,0
1243,20,0
1244,20,1
1245,12,0
1246,28,0
1247,27,1
1248,15,0
1249,14,0
1250,36,0
1251,191,0
1252,54,0
1253,69,0
1254,63,0
1255,22,0
1256,15,0
1257,6,0
1258,14,0
1259,17,0
1260,16,0
1261,15,0
1262,64,0
1263,12,1
1264,55,0
1265,29,0
1266,40,0
1267,109,0
1268,13,0
1269,16,0
1270,87,0
1271,5,0
1272,102,0
1273,8,0
1274,12,0
1275,105,0
1276,38,0
1277,46,0
1278,208,0
1279,45,1
1280,39,0
1281,19,0
1282,129,0
1283,14,0
1284,21,0
1285,14,0
1286,15,0
1287,43,0
1288,59,0
1289,16,0
1290,101,0
1291,103,0
1292,195,1
1293,25,0
1294,177,1
1295,86,0
1296,14,0
1297,45,0
1298,55,0
1299,19,0
1300,23,0
1301,11,0
1302,23,0
1303,9,0
1304,53,0
1305,103,0
1306,75,0
1307,27,0
1308,11,0
1309,14,0
1310,74,0
1311,10,0
1312,33,0
1313,78,0
1314,25,0
1315,15,0
1316,107,0
1317,226,0
1318,22,0
1319,12,0
1320,68,0
1321,34,0
1322,5,0
1323,23,0
1324,123,1
1325,140,0
1326,400,0
1327,29,0
1328,192,0
1329,7,0
1330,13,0
1331,29,1
1332,10,0
1333,51,1
1334,301,0
1335,87,0
1336,309,0
1337,19,0
1338,109,0
1339,90,0
1340,33,0
1341,27,0
1342,19,0
1343,102,0
1344,158,0
1345,160,0
1346,6,0
1347,12,0
1348,294,0
1349,19,0
1350,87,0
1351,6,0
1352,31,0
1353,18,0
1354,18,0
1355,36,0
1356,19,0
1357,20,1
1358,20,0
1359,30,0
1360,30,0
1361,30,0
1362,52,0
1363,14,0
1364,7,0
1365,105,0
1366,7,0
1367,19,1
1368,16,0
1369,400,0
1370,110,1
1371,80,2
1372,7,0
1373,56,0
1374,5,0
1375,22,1
1376,41,0
1377,20,0
1378,93,0
1379,265,1
1380,21,0
1381,32,0
1382,12,0
1383,43,1
1384,55,0
1385,86,0
1386,206,1
1387,14,1
1388,12,0
1389,22,0
1390,15,0
1391,12,0
1392,265,0
1393,57,0
1394,78,2
1395,70,0
1396,24,0
1397,18,0
1398,23,0
1399,19,0
1400,166,1
1401,91,1
1402,50,0
1403,24,0
1404,57,0
1405,31,1
1406,102,0
1407,27,0
1408,124,0
1409,71,0
1410,28,0
1411,17,0
1412,33,0
1413,62,1
1414,148,0
1415,5,0
1416,62,0
1417,195,0
1418,49,0
1419,16,0
1420,17,0
1421,5,0
1422,39,0
1423,6,0
1424,26,0
1425,19,1
1426,30,0
1427,119,1
1428,78,1
1429,97,0
1430,71,0
1431,27,0
1432,19,0
1433,76,0
1434,5,0
1435,121,0
1436,31,1
1437,85,0
1438,16,0
1439,5,0
1440,18,0
1441,31,0
1442,41,0
1443,57,0
1444,35,0
